ID,KEY,en-us,pt-br,es-es,ba-id,,
V3R-E,PL001,title:Player blocked.description:Your access to the game has been blocked. Please contact support for more information.,title:Jogador bloqueado.description:Seu acesso ao jogo foi bloqueado. Entre em contato com o suporte para mais informações.,"title:Jugador bloqueado.description:Su acceso al juego ha sido bloqueado. Por favor, contacte al soporte para más información.",title:Pemblokiran Pemain.description:Akses Anda ke permainan telah diblokir. Silakan hubungi dukungan untuk informasi lebih lanjut.,,
V1D-E,PL002,title:Session expired.description:Your session has ended. Please log in again.,"title:Sessão expirada.description:Sua sessão foi encerrada. Por favor, faça login novamente.","title:Sesión expirada.description:Su sesión ha finalizado. Por favor, inicie sesión nuevamente.",title:Sesi Berakhir.description:Sesi Anda telah berakhir. Silakan masuk kembali.,,
I6K-E,PL003,title:Game disabled.description:This game is temporarily unavailable due to maintenance or administrative adjustments. Please try again later.,title:Jogo desativado.description:Este jogo está temporariamente indisponível por motivos de manutenção ou ajustes administrativos. Tente novamente mais tarde.,title:Juego desactivado.description:Este juego está temporalmente no disponible debido a mantenimiento o ajustes administrativos. Intente nuevamente más tarde.,title:Permainan Dinonaktifkan.description:Permainan ini sementara tidak tersedia karena pemeliharaan atau penyesuaian administratif. Silakan coba lagi nanti.,,
D3X-E,PL004,title:User already connected.description:An active session was detected on another device. End the other session to continue playing here.,title:Usuário já conectado.description:Detectamos uma sessão ativa em outro dispositivo. Finalize a outra sessão para continuar jogando aqui.,title:Usuario ya conectado.description:Se detectó una sesión activa en otro dispositivo. Finalice la otra sesión para continuar jugando aquí.,title:Pengguna Sudah Terhubung.description:Sesi aktif terdeteksi di perangkat lain. Akhiri sesi lain untuk melanjutkan bermain di sini.,,
C8K-E,PL005,title:Game not started.description:The game is not yet available to start. Please wait for it to be released.,title:Jogo não iniciado.description:O jogo ainda não está disponível para começar. Aguarde a liberação.,title:Juego no iniciado.description:El juego aún no está disponible para comenzar. Espere a que se libere.,title:Permainan Belum Dimulai.description:Permainan belum tersedia untuk dimulai. Harap tunggu sampai tersedia.,,
Y4D-E,GS001,title:Game rules violation.description:The action performed is not allowed under the game rules.,title:Violação de regras do jogo.description:A ação realizada não é permitida de acordo com as regras do jogo.,title:Violación de reglas del juego.description:La acción realizada no está permitida según las reglas del juego.,title:Pelanggaran Aturan Permainan.description:Tindakan yang dilakukan tidak diizinkan sesuai dengan aturan permainan.,,
M8M-E,GS002,title:Internal server error.description:An error occurred on our servers. We are working to fix the issue. Please reconnect or wait a few moments.,title:Erro interno do servidor.description:Ocorreu um erro em nossos servidores. Estamos trabalhando para corrigir o problema. Tente reconectar ou aguarde alguns instantes.,"title:Error interno del servidor.description:Ocurrió un error en nuestros servidores. Estamos trabajando para corregir el problema. Por favor, reconéctese o espere unos momentos.",title:Kesalahan Internal Server.description:Terjadi kesalahan di server kami. Kami sedang bekerja memperbaiki masalah ini. Silakan sambungkan kembali atau tunggu beberapa saat.,,
K6E-E,GS003,title:New session detected.description:A new session was started on another device. End other sessions to continue playing.,title:Nova sessão detectada.description:Uma nova sessão foi iniciada em outro dispositivo. Encerre outras sessões para continuar jogando.,title:Nueva sesión detectada.description:Se inició una nueva sesión en otro dispositivo. Finalice las otras sesiones para continuar jugando.,title:Sesi Baru Terdeteksi.description:Sesi baru telah dimulai di perangkat lain. Akhiri sesi lain untuk melanjutkan bermain.,,
P7U-E,GS004,title:Player blocked during session.description:Your access was blocked during the game. Please contact support for clarification.,title:Jogador bloqueado durante a sessão.description:Seu acesso foi bloqueado durante o jogo. Entre em contato com o suporte para esclarecimentos.,"title:Jugador bloqueado durante la sesión.description:Su acceso fue bloqueado durante el juego. Por favor, contacte al soporte para aclaraciones.",title:Pemblokiran Pemain Saat Sesi.description:Akses Anda diblokir selama permainan. Silakan hubungi dukungan untuk penjelasan.,,
S0Q-E,GS005,title:Connection error.description:There was a problem with your connection. Please check your internet and try again.,title:Erro de conexão.description:Houve um problema com sua conexão. Verifique sua internet e tente novamente.,title:Error de conexión.description:Hubo un problema con su conexión. Verifique su internet e intente nuevamente.,title:Kesalahan Koneksi.description:Terjadi masalah dengan koneksi Anda. Periksa internet Anda dan coba lagi.,,
R1J-E,GS006,title:Access blocked by region or jurisdiction.description:This game is not available in your current location due to legal or regional restrictions.,title:Acesso bloqueado por região ou jurisdição.description:Este jogo não está disponível na sua localização atual por restrições legais ou regionais.,title:Acceso bloqueado por región o jurisdicción.description:Este juego no está disponible en su ubicación actual debido a restricciones legales o regionales.,title:Akses Diblokir oleh Wilayah atau Yurisdiksi.description:Permainan ini tidak tersedia di lokasi Anda saat ini karena pembatasan hukum atau regional.,,
U4O-E,GS007,title:Game not found.description:The requested game could not be found. Check the link or try again.,title:Jogo não encontrado.description:Não foi possível localizar o jogo solicitado. Verifique o link ou tente novamente.,title:Juego no encontrado.description:No se pudo encontrar el juego solicitado. Verifique el enlace o intente nuevamente.,title:Permainan Tidak Ditemukan.description:Permainan yang diminta tidak ditemukan. Periksa tautan atau coba lagi.,,
I8I-E,OP001,title:Insufficient funds.description:You do not have enough balance to place this bet. Add funds to continue playing.,title:Fundos insuficientes.description:Você não possui saldo suficiente para realizar esta aposta. Adicione fundos para continuar jogando.,title:Fondos insuficientes.description:No tiene saldo suficiente para realizar esta apuesta. Agregue fondos para continuar jugando.,title:Saldo Tidak Cukup.description:Saldo Anda tidak cukup untuk memasang taruhan ini. Tambahkan dana untuk melanjutkan bermain.,,
